"Country Name","Country Code","DFE","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
"Madagascar","MDG",0.86461509,NA,375.966993805494,24.4833333333333,NA,3.5,5.523,1561.82451871971,5.88,57.4996,0.956146657466889,110.405,0.1,0.961013336976369,0.859598891602622
"Maldives","MDV",0.030647954,7.4747220434908,NA,36.175,4.63348842597909,4,3.4371,14155.0347842358,6.6,70.66635,1.00225245952606,44.695,NA,1.00627453218807,1.4181600411733
"Mexico","MEX",0.149843277,31.5065909771284,7072.41532228632,69.3166666666667,10.6573734986779,NA,2.80655,18237.2965736372,3.8,72.8354,0.997857775953081,30.315,0.22,0.986647498607635,0.906609416007996
"Marshall Islands","MHL",0.058414229,8.33333331115555,NA,44.6,22.9505243775518,NA,4.7261,3478.55846642682,NA,63.1364,NA,41.995,NA,1.02571222517226,1.24195003509521
"North Macedonia","MKD",0.304578781,NA,2476.91732048946,NA,NA,NA,1.83205,10467.9551441782,4.1,72.8159170731707,0.99456000328064,20.025,NA,0.976436249911785,1.20091051459312
"Mali","MLI",0.652855128,15.5139252437326,463.370062463558,7.66666666666667,1.30579913373027,3.5,6.89265,1658.26368828691,6.325,50.75535,0.586410015821457,187.435,1.53,0.678850554757648,0.315857144338744
"Myanmar","MMR",0.092410935,NA,NA,30.75,NA,NA,2.8845,1305.41694989991,NA,59.58405,0.975809991359711,92.19,0.55,0.962282133953912,1.31947402954102
"Montenegro","MNE",0.012174282,NA,4928.84255050416,46.15,NA,NA,1.90375,13937.4378881865,NA,74.1615646341464,0.998119980096817,13.08,0.1,1.03160430703844,1.2639909863472
"Mongolia","MNG",2.561342238,27.9991498804768,NA,62.4666666666667,41.201316500704,3.5,2.6197,4992.70368909996,7.475,62.61525,1.01455998420715,66.345,0.1,1.11581186205149,1.43403072868075
"Mozambique","MOZ",3.662447956,43.0977774070814,NA,13.6,1.69778393837435,3.5,5.8193,662.588791427805,4.86666666666667,48.86315,0.665303329626719,178.085,NA,0.765553124248981,0.466794669628143
"Mauritania","MRT",3.08197365,34.8043799777691,1150.14943550373,7.13333333333333,9.22704354988754,3.8,5.53805,4514.74977053129,6.2,61.01395,0.76885998249054,93.96,0.46,0.877370526916103,0.244021666546663
"Mauritius","MUS",0,12.4943432045379,7137.08452281918,75.25,3.28674625651007,NA,2.0025,11975.8767582064,7.6,71.2486829268293,1.0141099691391,18.945,0.675,1.00148570963315,0.96255686879158
"Malawi","MWI",8.820492787,14.0150200507635,NA,28.5833333333333,0.973979589523272,3.5,6.1524,1067.85364019524,5.4,46.98915,0.861249983310699,168.575,12.85,0.914610628038645,0.379417142697743
"Malaysia","MYS",0.096926904,30.2761223096149,4153.93833742758,52.05,6.76903359444432,NA,2.8663,15660.1857161951,4.66666666666667,72.9017,0.992860019207001,11.15,0.335,1.03530890411801,1.20768666267395
"Namibia","NAM",3.401433963,NA,2612.27702325865,42.5666666666667,0.96776910529561,NA,4.13965,7124.07478387713,3.15,55.5098,1.04661130905152,70.47,10.87,1.02189111047321,1.13041273572228
"Niger","NER",7.525065739,NA,420.306598269799,9.45,NA,2.5,7.69885,971.653095661195,6.75,49.19115,0.441066602865855,233.405,0.505,0.641193333599303,0.384630002081394
"Nigeria","NGA",0.055033264,NA,NA,12.62,NA,3,6.18365,3427.56946437099,4.46666666666667,47.4069,0.801452487707138,180.5,1.795,0.835710910233584,0.714027494192124
"Nicaragua","NIC",0.833598367,17.7179524844501,1248.63157487014,62.5,15.5219568738638,3.6,3.3493,3838.0727869312,3.84,66.80855,1.03493332862854,42.76,0.145,1.05333700180054,1.04105167587598
"Netherlands","NLD",0.004737861,NA,31556.8364589485,75.875,NA,NA,1.66,44904.8076241416,8.62222222222222,78.2870487804878,NA,6.265,0.115,0.973369500041008,0.988751989603043
"Norway","NOR",0.006795588,NA,45702.0137351246,NA,NA,NA,1.8665,55055.3664626602,9.38,78.6996585365854,NA,5.225,0.1,1.00014498233795,1.27827200889587
"Nepal","NPL",0.703796514,NA,588.422231851638,35.9166666666667,NA,3.5,3.9869,1990.61099746581,7.15,61.8112,0.67535737156868,85.93,0.145,0.759168824728797,0.432457002997398
"New Zealand","NZL",0.010853985,NA,22724.3427048393,74.3,NA,NA,2.017,32623.8009180725,NA,78.1829268292683,NA,7.925,0.1,1.01978843776803,1.15824857779912
"Pakistan","PAK",1.055342391,22.6373158549467,936.214364329223,22.5181818181818,7.26887804528887,2,5.33385,3477.49949628439,9.24285714285714,61.7704,0.729181657234828,111.925,0.1,0.74546999335289,0.72677555680275
"Panama","PAN",0.196361452,35.9602734952392,NA,62.5,17.48546689838,NA,2.7793,15384.942975046,2.28666666666667,73.85785,0.992069989442825,25.985,NA,1.0048254403201,1.37673232188591
"Peru","PER",1.952380813,23.9848308247264,2765.08002122814,68.6142857142857,10.0977799655032,NA,3.0394,6684.57957923187,3.43076923076923,69.90265,0.982437274672768,44.29,0.34,0.991424275296075,1.02418501178424
